date,equipment,category,condition,part,part_number,quantity,reason,anomaly
"2026-03-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-03-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-03-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-03-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-31","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.7","Anomaly","true"
"2026-04-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-04-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-14","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-15","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-16","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-17","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.7","Anomaly","true"
"2026-04-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-04-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-04-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.7","Maintenance spike","false"
"2026-04-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-04-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-04-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-04-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
